sigla,nome,ibge_id,created_at,updated_at
AC,Acre,12,"2022-10-30 13:53:45","2022-10-30 13:53:45"
AL,Alagoas,27,"2022-10-30 13:53:45","2022-10-30 13:53:45"
AM,Amazonas,13,"2022-10-30 13:53:45","2022-10-30 13:53:45"
AP,Amapá,16,"2022-10-30 13:53:45","2022-10-30 13:53:45"
BA,Bahia,29,"2022-10-30 13:53:45","2022-10-30 13:53:45"
CE,Ceará,23,"2022-10-30 13:53:45","2022-10-30 13:53:45"
DF,"Distrito Federal",53,"2022-10-30 13:53:45","2022-10-30 13:53:45"
ES,"Espírito Santo",32,"2022-10-30 13:53:45","2022-10-30 13:53:45"
GO,Goiás,52,"2022-10-30 13:53:45","2022-10-30 13:53:45"
MA,Maranhão,21,"2022-10-30 13:53:45","2022-10-30 13:53:45"
MG,"Minas Gerais",31,"2022-10-30 13:53:45","2022-10-30 13:53:45"
MS,"Mato Grosso do Sul",50,"2022-10-30 13:53:45","2022-10-30 13:53:45"
MT,"Mato Grosso",51,"2022-10-30 13:53:45","2022-10-30 13:53:45"
PA,Pará,15,"2022-10-30 13:53:45","2022-10-30 13:53:45"
PB,Paraíba,25,"2022-10-30 13:53:45","2022-10-30 13:53:45"
PE,Pernambuco,26,"2022-10-30 13:53:45","2022-10-30 13:53:45"
PI,Piauí,22,"2022-10-30 13:53:45","2022-10-30 13:53:45"
PR,Paraná,41,"2022-10-30 13:53:45","2022-10-30 13:53:45"
RJ,"Rio de Janeiro",33,"2022-10-30 13:53:45","2022-10-30 13:53:45"
RN,"Rio Grande do Norte",24,"2022-10-30 13:53:45","2022-10-30 13:53:45"
RO,Rondônia,11,"2022-10-30 13:53:45","2022-10-30 13:53:45"
RR,Roraima,14,"2022-10-30 13:53:45","2022-10-30 13:53:45"
RS,"Rio Grande do Sul",43,"2022-10-30 13:53:45","2022-10-30 13:53:45"
SC,"Santa Catarina",42,"2022-10-30 13:53:45","2022-10-30 13:53:45"
SE,Sergipe,28,"2022-10-30 13:53:45","2022-10-30 13:53:45"
SP,"São Paulo",35,"2022-10-30 13:53:45","2022-10-30 13:53:45"
TO,Tocantins,17,"2022-10-30 13:53:45","2022-10-30 13:53:45"
